========================================================ARTISTAS========================================================

Artista                        | Popularidad  | # Canciones  | Canciones
[X] Bad Bunny                      | 0            | 14           | 6Sq7ltF9Qa7SNFBsV5Cogx, 38UYeBLfvpnDSG9GznZdnL, 1IHWl5LamUGEuP4ozKQSXZ, 3k3NWokhRRkEPhCzPmV8TW, 1797zYiX4cKosMH836X9Gt, 41oY4WCTj5kccfesTVFnvN, 6VrQTLzzuyGIYjUDe4kAZk, 48AJSd42lXpicsGqcgopof, 2JPLbjOn0wPCngEot2STUS, 4r9jkMEnArtWGH2rL2FZl0, 2mnXxnrX5vCGolNkaFvVeM, 54ELExv56KCAB4UP9cOCzC, 2TH65lNHgvLxCKXM3apjxI, 4R8BJggjosTswLxtkw8V7P
[X] Chencho Corleone               | 0            | 2            | 6Sq7ltF9Qa7SNFBsV5Cogx, 6mmPpaltUZK7xjNlBPQQ0p
[X] Gorillaz                       | 0            | 1            | 38UYeBLfvpnDSG9GznZdnL
[X] Feid                           | 0            | 7            | 4FAKtPVycI4DxoOHC01YqD, 4srcMdbm2qzVG98tJajHxp, 3kUq4sBcmxhnOtNysZ9yrp, 02jLfqc9gMo8PkHEGHY3OT, 1zsPaEkglFvxjAhrM8yhpr, 0CYTGMBYkwUxrj1MWDLrC5, 2z9YkcLojiOE7Eu2p9lPZR
[X] Bomba Estéreo                  | 0            | 1            | 3k3NWokhRRkEPhCzPmV8TW
[X] Lyanno                         | 0            | 1            | 79HZAZNnOE97rb2hnI0XQr
[X] Brray                          | 0            | 1            | 79HZAZNnOE97rb2hnI0XQr
[X] Tony Dize                      | 0            | 1            | 1797zYiX4cKosMH836X9Gt
[X] JHAYCO                         | 0            | 2            | 41oY4WCTj5kccfesTVFnvN, 4R8BJggjosTswLxtkw8V7P
[X] Cris Mj                        | 0            | 1            | 1O2pcBJGej0pmH2Y9XZMs6
[X] Pablito Pesadilla              | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
[X] Polimá Westcoast               | 0            | 2            | 0kTMK4gNFfLXaTb62w1UaJ, 0OTNHGKcqQbk51bOYe462Y
[X] Nickoog Clk                    | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
[X] Fran C                         | 0            | 1            | 0kTMK4gNFfLXaTb62w1UaJ
[X] Pailita                        | 0            | 1            | 0OTNHGKcqQbk51bOYe462Y
[X] Ryan Castro                    | 0            | 1            | 2rDZhKnPaPG054ExZ6nXUS
[X] Daddy Yankee                   | 0            | 9            | 48AJSd42lXpicsGqcgopof, 3XjN0mvFkQp1FMVM9Ro5hm, 7d7aPD2oxuzjhOZnu4Dj23, 6ksWMnPcHNyNoNf3y1BQCO, 2j2fIJGh4PMdXt9ULI5Tlc, 2ksOAxtIxY8yElEWw8RhgK, 6RyaV7owmVU6fzEPE17sF1, 7fGODUqa0gtkb72oBVCgCD, 26QKsGW4hMuwiEE1ftUMHe
[X] Bellakath                      | 0            | 1            | 4ilZV1WNjL7IxwE81OnaRY
[X] Anitta                         | 0            | 1            | 3FkeNbs9Zeiqkr3WkbOiGp
[X] Alejo                          | 0            | 1            | 4srcMdbm2qzVG98tJajHxp
[X] ROBI                           | 0            | 1            | 4srcMdbm2qzVG98tJajHxp
[X] Arcángel                       | 0            | 1            | 2mnXxnrX5vCGolNkaFvVeM
[X] Ozuna                          | 0            | 3            | 1zsPaEkglFvxjAhrM8yhpr, 7geOCrsAm3LNJCrH81bR5a, 2ksOAxtIxY8yElEWw8RhgK
[X] Ñengo Flow                     | 0            | 1            | 54ELExv56KCAB4UP9cOCzC
[X] Piso 21                        | 0            | 2            | 5fhcuVxuBWfgNXGuyAtLmr, 059bcIhyc2SBwm6sw2AZzd
[X] Camilo                         | 0            | 3            | 7Dk8r4VR5NoveUvTiCKEXC, 42lpuSQmnLUM1ZXJVzIVOi, 0UQwlF2pRkr1lMN6kNNUj3
[X] ROSALÍA                        | 0            | 1            | 2FYGZDfsAnNsrm1gVbyKnG
[X] Christian Nodal                | 0            | 3            | 0UXlu64mDLvfzR8IXMz06J, 63bmZnBN1CiJ9sA4qTEe8y, 1qfoq1qvZT7VwDVeekCJ97
[X] Los Hermanos Andrade           | 0            | 1            | 32evkZrcFEfIM9SyKm3obK
[X] NATTI NATASHA                  | 0            | 1            | 7d7aPD2oxuzjhOZnu4Dj23
[X] Wisin & Yandel                 | 0            | 3            | 7d7aPD2oxuzjhOZnu4Dj23, 15wPtgg6jsyMLhIkjcSpl4, 6ksWMnPcHNyNoNf3y1BQCO
[X] El Gran Combo De Puerto Rico   | 0            | 3            | 1IcnHHfeAkdc88LybFWwb9, 4fHYtAHpAmsFDq7kTLzgh5, 6InAsgddPjAcuF7mSHDT8K
[X] ChocQuibTown                   | 0            | 1            | 0HRMIu0FgBAkY0r8XGzExe
[X] Peter Manjarres y Sergio Luis Rodriguez | 0            | 1            | 3xqT1gSFXBWbEbkx7IvK3t
[X] J Balvin                       | 0            | 5            | 2VSK0CBTBzki1AOVJV83k8, 1sviDBcAqVOxMXq4xITVEs, 6cy3ki60hLwimwIje7tALf, 2ksOAxtIxY8yElEWw8RhgK, 4R8BJggjosTswLxtkw8V7P
[X] Farruko                        | 0            | 1            | 40LW0IOX1DDxqvnTLpAKrq
[X] Sean Paul                      | 0            | 3            | 40LW0IOX1DDxqvnTLpAKrq, 3MhdH8PxqH1FuQp3HBptUI, 2haxvmy6n8quJtJRuORGBh
[X] Zion                           | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
[X] Hector                         | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
[X] Tonny Tun Tun                  | 0            | 1            | 6ksWMnPcHNyNoNf3y1BQCO
