=============================================CANCIONES==============================================

ID                     | Nombre                         | Duración (ms) | Popularidad | Artistas
6ksWMnPcHNyNoNf3y1BQCO | Noche De Entierro              | 263293        | 75         | Daddy Yankee, Wisin & Yandel, Zion, Hector, Tonny Tun Tun
4fHYtAHpAmsFDq7kTLzgh5 | Y No Hago Mas Na'              | 301373        | 62         | El Gran Combo De Puerto Rico
2j2fIJGh4PMdXt9ULI5Tlc | Dura                           | 200480        | 2          | Daddy Yankee
6InAsgddPjAcuF7mSHDT8K | No Hay Cama Pa' Tanta Gente    | 268106        | 51         | El Gran Combo De Puerto Rico
1S2WEX1RBJL1ebpEldMG4V | Señora                         | 238893        | 0          | Otto Serge, Rafael Ricardo
2qlsW9JoDmXNyM7odbFxmn | Vete y Dile                    | 291619        | 0          | Sergio Vargas
1Ft13La2daEGqz5yWJC7lx | Bella                          | 197120        | 1          | Wolfine
6gyKkveHSPxKnZfSu0kYbQ | Prende La Vela                 | 288586        | 33         | Totó La Momposina
0dXGYzrcRP1rmSAumo4wFe | La Vamo a Tumbá                | 260432        | 32         | Herencia de Timbiqui
1CTgLWnF5RVifJXxTDSiEJ | Me Va Mejor                    | 207911        | 24         | Mauro Castillo
6WNAd46dtiBqakGzvlcCla | En Barranquilla Me Quedo       | 311676        | 54         | Joe Arroyo, La Verdad
5w9QfSM6iY9pPaxOj4ByT4 | Arrebatao - Remix              | 209428        | 0          | El Alfa, Zepekeño El Lominero, El Pepo Show
0SvRJNQmi1nB53cITmaqE6 | Checarnaval: La Rama del Tamarindo / La Danza del Garabato / De Que Me Disfrazaré | 240893        | 46         | Checo Acosta
5g2cx0mZFmCNp4GexaifFl | Como Tu No Hay Dos             | 226951        | 0          | Buxxi
1sviDBcAqVOxMXq4xITVEs | Que Calor (with J Balvin & El Alfa) | 169997        | 62         | Major Lazer, J Balvin, El Alfa, Diplo
63bmZnBN1CiJ9sA4qTEe8y | Adiós Amor                     | 199320        | 77         | Christian Nodal
1geLwtTJ0LTCwNA2cX8k9z | No Comprendi Tu Amor           | 282920        | 50         | Jorge Oñate, Álvaro López
6qvCE9WhoF57af6boMwaOz | Vivo en el limbo               | 376533        | 61         | Kaleth Morales, Andres Herrera
4tVCHHdULzG5acuwFmsRPw | Lo Mejor Para Los Dos (Todo de Cabeza) - Version Guitarra - En Vivo | 251200        | 60         | Kaleth Morales
6cy3ki60hLwimwIje7tALf | RITMO (Bad Boys For Life)      | 221714        | 72         | Black Eyed Peas, J Balvin
2ksOAxtIxY8yElEWw8RhgK | China                          | 301714        | 75         | Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna
6RyaV7owmVU6fzEPE17sF1 | Que Tire Pa Lante              | 210520        | 67         | Daddy Yankee
2TH65lNHgvLxCKXM3apjxI | Callaita                       | 250533        | 77         | Bad Bunny, Tainy
3f5lA8nnc4YYF1qf78WpHw | Ella Quiere Beber - Remix      | 219357        | 77         | Anuel AA, Romeo Santos
4R8BJggjosTswLxtkw8V7P | No Me Conoce - Remix           | 309120        | 6          | JHAYCO, J Balvin, Bad Bunny
0AEVupnoNEKPU81AOuPwjS | Esta Noche de Travesuras       | 210546        | 0          | Héctor "El Father"
3KOFm25dQCHhfMuEDNybKT | Viene y Se Va                  | 249160        | 0          | Mauro Castillo
07PF7Djp1Dmrin3X5fy8nA | Casi Te Envidio                | 321213        | 66         | Andy Montañez
1QariEMkM75ewzEb128t2C | Mujer de Carne y Hueso         | 294948        | 0          | Guayacán Orquesta
4mGRIaDuszXYCTGZfLjjpA | Niégame Tres Veces             | 269453        | 62         | Silvestre Dangond
3SXWtn3YbXOuz6s9LN8LeJ | Cali Pachanguero               | 309920        | 2          | Grupo Niche
3yEtuhGR8jOtusa29jWrhG | Tu Amor Me Hace Bien - Salsa Version | 300160        | 72         | Marc Anthony
059bcIhyc2SBwm6sw2AZzd | Te Vi                          | 231848        | 78         | Piso 21, Micro TDH
0UQwlF2pRkr1lMN6kNNUj3 | La Boca                        | 206279        | 69         | Mau y Ricky, Camilo
5YJ4BVvTFmVCxUyhKejHfR | Pa' Que Retozen                | 151666        | 80         | Tego Calderón
1oInQX1RuH1TcHuDv8Gvw3 | Las Avispas                    | 195653        | 56         | Juan Luis Guerra 4.40
17Sfr3T1chYPGcmM4VlhCh | Oiga, Mire, Vea                | 325642        | 3          | Guayacán Orquesta
4lq31N4E4eWqVMZv93sbhJ | Mal Bicho                      | 243293        | 61         | Los Fabulosos Cadillacs
19CmuECYssqkPWANF4nLWM | Para No Verte Más              | 191560        | 77         | La Mosca
1x6bkwDyWIOZNFY5blRSs1 | La Pachanga                    | 281933        | 69         | Vilma Palma e Vampiros
34inPy9EJX1LijFMKdpTs3 | SaxoSuelta Oriente Tribe       | 229437        | 61         | Dj Esli, Darek Sotelo
2YdX7PEziOImkySNDWsaKM | Rise Up - Radio Edit           | 170760        | 59         | Yves Larock
5GpzV7vCxkwdLloBSZg6Xg | De Millon a Cero               | 323733        | 55         | Kaleth Morales, Juank Ricardo
7aB1NvTLtOjrDrOc3CYMOi | La Guitarra                    | 218493        | 0          | Los Auténticos Decadentes
