=================================ARTISTAS ORDENADOS POR POPULARIDAD=================================

Artista                        | Popularidad  | # Canciones  | Canciones
Lele Pons                      | 0            | 1            | 11EnQRgRMJwMAesfkB5pnu
Guaynaa                        | 0            | 1            | 11EnQRgRMJwMAesfkB5pnu
Joaquin Guiller                | 0            | 2            | 7HD4v4EnxsJh4frQP03PBE, 3GUqkrdLefqJmxVvN5Vgpv
Pipe Bueno                     | 0            | 2            | 7HD4v4EnxsJh4frQP03PBE, 6i4OlSxwAfC1IyZkK5Bq8j
Paola Jara                     | 0            | 1            | 7HD4v4EnxsJh4frQP03PBE
Jhonny Rivera                  | 0            | 1            | 7HD4v4EnxsJh4frQP03PBE
Marbelle                       | 0            | 1            | 0V0350NvG0jvbiUTXPzIXU
Vicente Fernández              | 0            | 1            | 3KapNGuqWYFl9gBfJz9tOT
Judy Santos                    | 0            | 1            | 65H6t1WQBim6q93yM8fEwn
Juancho Rois                   | 0            | 1            | 61xyQGDYH9yMn4H9MpTh3g
Plan B                         | 0            | 1            | 0xJFWROBNTBL4sKEuA5pm6
LiL CaKe                       | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
Migrantes                      | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
Nico Valdi                     | 0            | 1            | 1DxEbt6OSbrkRthk6pjZue
Jósean Log                     | 0            | 1            | 6aommJFM8i3iT4inKuDSXh
Elder Dayán Díaz               | 0            | 1            | 4HQa0epS8B23YEHqyA2fKr
Elvis Crespo                   | 0            | 1            | 16LDbpqgCtvEZDQ5wfOWrj
Barbero 507                    | 0            | 1            | 7c7ajSiiY93LrpBoEBCFgB
Vico C                         | 0            | 1            | 5JFLXnWbJ0gsLFalPc5vpH
